"","ObjectNum","Name","Type","Magnitude","Info","Constellation","List","Season","Zone"
"173","3621","ESO 377-37","Galaxy",9,"Size: 10.0  cB, vL, E 160deg , am 4 st","Hydra","Herschel 400","Spring","Green"
"174","3626","NGC 3632","Galaxy",9.9,"Size: 3.1  B, S, vlE, sbM","Leo","Herschel 400","Spring","Green"
"175","3628","UGC 6350","Galaxy",8.5,"Size: 14.8  pB, vL, vmE 102deg","Leo","Herschel 400","Spring","Green"
"176","3631","UGC 6360","Galaxy",9.4,"Size: 4.6  pB, L, R, svmbMrN","Ursa Major","Herschel 400","Winter","Green"
"177","3640","UGC 6368","Galaxy",9.3,"Size: 4.1  B, pL, R, psbM","Leo","Herschel 400","Spring","Green"
"178","3655","UGC 6396","Galaxy",10.6,"Size: 1.6  pB, pS, iR, bM, r","Leo","Herschel 400","Spring","Green"
"179","3665","UGC 6426","Galaxy",9.8,"Size: 3.2  cB, cL, iR, pgmbM","Ursa Major","Herschel 400","Winter","Green"
"180","3675","UGC 6439","Galaxy",10,"Size: 5.9  vB, cL, vmE 0deg +/- , vsmbMN","Ursa Major","Herschel 400","Winter","Green"
"181","3686","UGC 6460","Galaxy",10.4,"Size: 3.3  pB, L, vlE, vgbM, r","Leo","Herschel 400","Spring","Green"
"182","3726","UGC 6537","Galaxy",9.4,"Size: 6.0  pB, vL, lE 0deg , vsmbM *15,","Ursa Major","Herschel 400","Winter","Green"
"183","3729","UGC 6547","Galaxy",10.4,"Size: 3.1  pB, pL, lE 0deg +/- , gbM, *1","Ursa Major","Herschel 400","Winter","Green"
"184","3810","UGC 6644","Galaxy",9.8,"Size: 4.3  B, L, vlE","Leo","Herschel 400","Spring","Green"
"185","3813","UGC 6651","Galaxy",10.7,"Size: 2.3  cB, pL, pmE 83deg , bM","Ursa Major","Herschel 400","Winter","Green"
"186","3877","UGC 6745","Galaxy",11,"Size: 5.4  B, L, mE 37deg","Ursa Major","Herschel 400","Winter","Green"
"187","3893","UGC 6778","Galaxy",10,"Size: 4.4  B, pL, R, mbM","Ursa Major","Herschel 400","Winter","Green"
"188","3898","UGC 6787","Galaxy",9.8,"Size: 4.4  B, pL, lE, svmbM","Ursa Major","Herschel 400","Winter","Green"
"189","3900","UGC 6786","Galaxy",10.4,"Size: 3.5  B, pL, vlE 0deg +/- , bMN","Leo","Herschel 400","Spring","Green"
"190","3912","NGC 3899","Galaxy",12,"Size: 1.7  F, pL, R, pgbM","Leo","Herschel 400","Spring","Green"
"191","3938","UGC 6856","Galaxy",9.4,"Size: 5.4  B, vL, R, bMpBN, er","Ursa Major","Herschel 400","Winter","Green"
"192","3941","UGC 6857","Galaxy",10,"Size: 3.8  vB, pL, R, smbM *9","Ursa Major","Herschel 400","Winter","Green"
"193","3945","UGC 6860","Galaxy",9.6,"Size: 5.5  B, pL, R, gmbM, r, *12 sp","Ursa Major","Herschel 400","Winter","Green"
"194","3949","UGC 6869","Galaxy",10,"Size: 3.0  cB, pL, pmE, vgbM","Ursa Major","Herschel 400","Winter","Green"
"195","3953","UGC 6870","Galaxy",9.1,"Size: 6.6  cB, L, E 0deg +/- , vsbMLrN","Ursa Major","Herschel 400","Winter","Green"
"196","3962","MCG 2-30-40","Galaxy",9.6,"Size: 2.9  cB, pL, iR, gmbM, triangle 2","Crater","Herschel 400","Spring","Green"
"197","3982","UGC 6918","Galaxy",11,"Size: 2.5  B, pL, R, g, sbM disc","Ursa Major","Herschel 400","Winter","Green"
"198","3992","M 109","Galaxy",8.8,"Size: 7.6  cB, vL, pmE, sbMBrN; = M109","Ursa Major","Herschel 400","Winter","Green"
"199","3998","UGC 6946","Galaxy",9.6,"Size: 3.1  cB, pS, R, vg, smbM","Ursa Major","Herschel 400","Winter","Green"
"200","4026","UGC 6985","Galaxy",11,"Size: 5.1  vB, cL, mE 176deg , vsvmbMBN","Ursa Major","Herschel 400","Winter","Green"
"201","4027","ESO 572-37","Galaxy",10.1,"Size: 3.0  glob. cl. , pF, pL, R, rr, st","Corvus","Herschel 400","Fall","Green"
