"","product_id","title","author","date","ver.purchase","format","stars","comments","helpful","rver_url","rver_id"
"2370","B01GTP417C","Great quality & size.","Bruce Tilley",2013-10-08,1,"
      Navy/RoyalPackage Type: Standard Packaging",5,"My son wanted this to hang out with his friends. Looks better than the other brands some have. He likes the extra size.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEFPJNGUCYW7AOSPBEIST4N3W3LQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AEFPJNGUCYW7AOSPBEIST4N3W3LQ"
"2371","B01GTP417C","Perfect","Honest Abe",2013-10-08,1,"
      Navy/OlivePackage Type: Standard Packaging",5,"This eno is just top of the notch. I have owned it for a year now and have camped in it multiple times where it has proved to be super comfortable! There are no ""pressure points"" on it at all. Definitely enough room for two people. I am 6'3"" and have no issues with the size.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGYJFJVUEQL7P5HH3LHV3LPJV54A/ref=cm_cr_arp_d_pdp?ie=UTF8","AGYJFJVUEQL7P5HH3LHV3LPJV54A"
"2372","B01GTP417C","Solid Purchase","Potlatcher",2013-10-08,1,"
      *Red/CharcoalPackage Type: Standard Packaging",5,"Incredibly happy with purchase. Hammock has been a great addition to our deck. The durability has withstood four kids in and out of the hammock all summer and the stitching is still solid.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AH4USC4K52F3T3RB3U36QWUR66TA/ref=cm_cr_arp_d_pdp?ie=UTF8","AH4USC4K52F3T3RB3U36QWUR66TA"
"2373","B01GTP417C","Bought it for my wife","W. Stanford",2013-10-07,1,"",5,"I really enjoy ENO hammocks. I have a single, and I just bought my wife a doublenest for her birthday. They're incredibly light and easy to set up. They are also really durable. Just remember to buy some straps and consider getting a warm blanket or pad  for cool nights (the loft makes the hammock considerably cooler than the ground.)",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEQ357X2UVVDDIRHYY4MYQRGWQBA/ref=cm_cr_arp_d_pdp?ie=UTF8","AEQ357X2UVVDDIRHYY4MYQRGWQBA"
"2374","B01GTP417C","one for me one for my son..we both love them","Geoffrey Haim",2013-09-30,1,"
      Sapphire/YellowPackage Type: Standard Packaging",5,"easy to hand easy to store. you will never go back to any other kind of hammock. If you have a choice always choose ENO",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHQCJACZF3SE56FETIDAI54V2YHA/ref=cm_cr_arp_d_pdp?ie=UTF8","AHQCJACZF3SE56FETIDAI54V2YHA"
"2375","B01GTP417C","Hot and Bleh","B. Miller",2013-09-28,1,"
      Khaki/OlivePackage Type: Standard Packaging",2,"Looks nice. Well made. But, it seems to get too hot for some Texas weather. I'm disappointed with it and wouldn't recommend it for hot weather. I'll keep it because it would be too big of a hassle to return. Not sure I'll use it anytime soon.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGXB7WEOIURC4EDIL4VZC67Z3ABA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGXB7WEOIURC4EDIL4VZC67Z3ABA"
"2376","B01GTP417C","great hammock","K.A.",2013-09-26,1,"
      Orange/GreyPackage Type: Standard Packaging",5,"I bought the double nest because I am six eight and weight about 250lbs it is a perfict size for me and has held up well over the past 4 months of use. its not quite big enought for a second person, because i take up so much room. but it would work great for two normal size people to lay in. love the product and will purchase aging",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFF2L6N4BAOPD7NYEPNJVGJ4I43A/ref=cm_cr_arp_d_pdp?ie=UTF8","AFF2L6N4BAOPD7NYEPNJVGJ4I43A"
"2377","B01GTP417C","Small to pack and comfortable","Reichgerdt",2013-09-25,1,"
      Khaki/MaroonPackage Type: Standard Packaging",5,"Bought this after trying out a friend's on a camping trip.  The double is a tight fit for two, but nicely surrounds one if wanting to bring sides up to keep out wind or sun while napping.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGQG4YS67DJNG53B2Z6PL2MSBIMA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGQG4YS67DJNG53B2Z6PL2MSBIMA"
"2378","B01GTP417C","ENOs are cool","Jake",2013-09-23,1,"
      Khaki/MaroonPackage Type: Standard Packaging",5,"This hammock is great for relaxing, taking a nap, reading a book, browsing the web, sitting in thought, laying down, reclining, and eating from a branch of grapes.It is also very large, large enough for me and my girlfriend to lounge comfortably and at times romantically. Always appropriately, though. We are trying to make good choices and be respectful of each other. We have been dating for almost two years now, but we still hold firm to morals and values that are quite unpopular in today's mainstream society. She is a fun and spunky gal and I enjoy her company.this is a good hammock.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AFBDB2RIHZODMKFJZY4Q6KJSUGIA/ref=cm_cr_arp_d_pdp?ie=UTF8","AFBDB2RIHZODMKFJZY4Q6KJSUGIA"
"2379","B01GTP417C","I love ENO","Chris Winkler",2013-09-23,1,"
      Khaki/BlackPackage Type: Standard Packaging",5,"Eagles Nest Outfitters Double Nest Hammock is exactly what everyone in America needs. Scratch that... in the whole world, no doubt.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AG3HIMFDVE2U7DMFTDLITDYGDFPQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AG3HIMFDVE2U7DMFTDLITDYGDFPQ"
"2380","B01GTP417C","Love!","Lacey Hannah",2013-09-19,1,"
      Royal/EmeraldPackage Type: Standard Packaging",5,"The colors are bright...a little brighter than the picture shows.  I was looking for a Kelly Green, but the color is actually a lighter brighter green.  But no matter, my husband still really likes it and it looks good anyways!",NA,"https://www.amazon.com/gp/profile/amzn1.account.AHERMUETEN4C374A3WLACMUSVCGQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AHERMUETEN4C374A3WLACMUSVCGQ"
"2381","B01GTP417C","Great purchase!","Stani Day",2013-09-19,1,"
      Khaki/OlivePackage Type: Standard Packaging",5,"This hammock is everything we wanted!  It's very sturdy and light-weight for our outdoor adventures.  We will definitely recommend this product.",NA,"https://www.amazon.com/gp/profile/amzn1.account.AEZ3C6MA4G2PMW7ON6ZJGC4GGLPQ/ref=cm_cr_arp_d_pdp?ie=UTF8","AEZ3C6MA4G2PMW7ON6ZJGC4GGLPQ"
"2382","B01GTP417C","Excellent hammock, exceeds expectations","Don Arledge",2013-09-18,1,"
      Navy/ForestPackage Type: Standard Packaging",5,"Excellent hammock. I'm very pleased. Used it on a overnight sailing trip. It worked great. I would recommend a pad if its cool out as this hammock has really good airflow",NA,"https://www.amazon.com/gp/profile/amzn1.account.AGV6OIOXCQSY5NKQVLK2EPVIQ4ZA/ref=cm_cr_arp_d_pdp?ie=UTF8","AGV6OIOXCQSY5NKQVLK2EPVIQ4ZA"
